accuracy,precision,recall,f1_score
0.9713679552078247,0.9582608695652174,0.9945848375451264,0.9760850310008858
0.9893842935562134,0.9874551971326165,0.9945848375451264,0.9910071942446044
0.9596602916717529,0.9387755102040817,0.9963898916967509,0.9667250437828371
0.9819532632827759,0.9837837837837838,0.9855595667870036,0.9846708746618575
0.9840764403343201,0.9926873857404022,0.98014440433213,0.9863760217983653
0.9883227348327637,0.9927404718693285,0.9873646209386282,0.9900452488687782
0.9851379990577698,0.9891304347826086,0.9855595667870036,0.9873417721518988
0.9713375568389893,0.985239852398524,0.9656419529837251,0.9753424657534246
0.9766454100608826,0.9907578558225508,0.969258589511754,0.9798903107861059
0.9840764403343201,0.9855595667870036,0.9873417721518988,0.9864498644986449
